fetch_time,price_date,rbob_close
2025-11-10,11/10/25,1.9711
2025-11-11,11/11/25,2.012
2025-11-12,11/12/25,1.9554
2025-11-13,11/13/25,1.9597
2025-11-14,11/14/25,2.0116
2025-11-17,11/17/25,1.9901
2025-11-18,11/18/25,1.9993
2025-11-19,11/19/25,1.9321
2025-11-20,11/20/25,1.9184
2025-11-21,11/21/25,1.8834
2025-11-24,11/24/25,1.8966
2025-11-25,11/25/25,1.8572
2025-11-26,11/26/25,1.889
2025-11-28,11/28/25,1.8959
2025-12-01,12/1/25,1.8689
2025-12-02,12/2/25,1.8303
2025-12-03,12/3/25,1.8272
2025-12-04,12/4/25,1.8271
2025-12-05,12/5/25,1.8341
2025-12-08,12/8/25,1.7981
2025-12-09,12/9/25,1.7897
2025-12-10,12/10/25,1.7815
2025-12-11,12/11/25,1.7598
2025-12-12,12/12/25,1.7521
2025-12-15,12/15/25,1.7323
2025-12-16,12/16/25,1.6809
2025-12-17,12/17/25,1.6943
2025-12-18,12/18/25,1.7013
2025-12-19,12/19/25,1.7082
2025-12-22,12/22/25,1.7422
2025-12-23,12/23/25,1.7432
2025-12-24,12/24/25,1.7471
2025-12-26,12/26/25,1.6971
2025-12-29,12/29/25,1.7152
2025-12-30,12/30/25,1.721
2025-12-31,12/31/25,1.7054
2026-01-02,1/2/26,1.6982
2026-01-05,1/5/26,1.72
2026-01-06,1/6/26,1.7006
2026-01-07,1/7/26,1.6945
2026-01-08,1/8/26,1.7603
2026-01-09,1/9/26,1.7806
2026-01-12,1/12/26,1.7938
2026-01-13,1/13/26,1.8265
2026-01-14,1/14/26,1.8304
2026-01-15,1/15/26,1.7838
2026-01-16,1/16/26,1.7852
2026-01-20,1/20/26,1.8238
2026-01-21,1/21/26,1.8574
2026-01-22,1/22/26,1.8172
2026-01-23,1/23/26,1.851
2026-01-26,1/26/26,1.8201
2026-01-27,1/27/26,1.8652
2026-01-28,1/28/26,1.8923
2026-01-29,1/29/26,1.92
2026-01-30,1/30/26,1.9228
2026-02-02,2/2/26,1.8514
2026-02-03,2/3/26,1.8979
2026-02-04,2/4/26,1.9652
2026-02-05,2/5/26,1.9266
2026-02-06,2/6/26,1.9532
2026-02-09,2/9/26,1.9855
2026-02-10,2/10/26,1.9592
2026-02-11,2/11/26,1.9789
2026-02-12,2/12/26,1.9159
2026-02-13,2/13/26,1.911
2026-02-17,2/17/26,1.9144
2026-02-18,2/18/26,1.968
2026-02-19,2/19/26,2.0066
2026-02-20,2/20/26,1.9973
2026-02-23,2/23/26,1.9892
2026-02-24,2/24/26,1.9714
2026-02-25,2/25/26,1.9914
2026-02-26,2/26/26,2.0323
2026-02-27,2/27/26,2.0779
2026-03-02,3/2/26,2.3706
2026-03-03,3/3/26,2.4574
2026-03-04,3/4/26,2.5149
2026-03-05,3/5/26,2.6709
2026-03-06,3/6/26,2.7466
2026-03-09,3/9/26,2.8084
2026-03-10,3/10/26,2.6403
2026-03-11,3/11/26,2.7883
2026-03-12,3/12/26,2.9646
2026-03-13,3/13/26,3.0414
2026-03-16,3/16/26,3.0003
2026-03-17,3/17/26,3.1234
2026-03-18,3/18/26,3.0985
2026-03-19,3/19/26,3.1271
2026-03-20,3/20/26,3.2862
2026-03-23,3/23/26,2.9749
2026-03-24,3/24/26,3.148
2026-03-25,3/25/26,3.0124
2026-03-26,3/26/26,3.1302
2026-03-27,3/27/26,3.2501
2026-03-30,3/30/26,3.3515
2026-03-31,3/31/26,3.3123
2026-04-01,4/1/26,3.0914
2026-04-02,4/2/26,3.288
2026-04-06,4/6/26,3.3082
2026-04-07,4/7/26,3.3052
2026-04-08,4/8/26,3.0059
2026-04-09,4/9/26,3.0007
2026-04-10,4/10/26,3.0373
2026-04-13,4/13/26,3.0864
2026-04-14,4/14/26,3.0366
2026-04-15,4/15/26,2.9825
2026-04-16,4/16/26,3.0302
2026-04-17,4/17/26,3.0312
2026-04-20,4/20/26,3.015
2026-04-21,4/21/26,3.0304
2026-04-22,4/22/26,3.117
2026-04-23,4/23/26,3.2371
2026-04-24,4/24/26,3.3312
2026-04-27,4/27/26,3.3908
2026-04-28,4/28/26,3.4218
2026-04-29,4/29/26,3.4713
2026-04-30,4/30/26,3.5977
2026-05-01,5/1/26,3.6402
